zipcode,GEOID20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,Area_km2,centroid_lat,centroid_lon,dist_to_center,IRS_Wealth_Raw,AGI_per_return,Households_200k,Population,HH200k_per_km2,Travel_Time_Min,city_key,city_name,airport_code,IRS_Norm,Density_Norm,Pop200k_Norm,Time_Norm,AGI_Norm,Time_Squared,Geometric_Score,Score_Fmt,IRS_Fmt,AGI_Fmt,HH200k_Fmt,Pop_Fmt
92657,92657,B5,G6350,S,21494836,1549909,+33.5950576,-117.8291306,21.494836,33.59436721799165,-117.83207751349411,63.54136466592712,0.5677916084465495,619.1735234215886,1775.0,9169.0,82.5779736118945,57.166666666666664,los_angeles,Los Angeles,LAX,0.5677916084465495,0.0059213592597315064,0.12616390646101358,0.2873769024171889,0.14060373935684178,0.0825854840428985,0.18109413954785591,18.11%,56.8%,$1k,"1,775","9,169"
92629,92629,B5,G6350,S,13103804,3032515,+33.4750606,-117.7056302,13.103804,33.47479637705235,-117.70556228347525,81.22061812403606,0.13670257422311735,177.70710659898478,3107.0,26144.0,237.1067210712248,75.93333333333334,los_angeles,Los Angeles,LAX,0.13670257422311735,0.017002040822147776,0.2208401449996446,0.38818263205013426,0.04035425087304526,0.15068575582536992,0.12455710258879679,12.46%,13.7%,$0k,"3,107","26,144"
91108,91108,B5,G6350,S,9813448,18177,+34.1223718,-118.1142336,9.813448,34.122335582410265,-118.11356612305815,14.298139852258851,0.330664870447992,369.2759433962264,1740.0,12559.0,177.30771080664005,45.233333333333334,los_angeles,Los Angeles,LAX,0.330664870447992,0.01271407627584926,0.12367616746037387,0.22327663384064458,0.08385626408751014,0.04985245521920927,0.13431268319670472,13.43%,33.1%,$0k,"1,740","12,559"
90049,90049,B5,G6350,S,38778176,1359,+34.0925404,-118.4910639,38.778176,34.08750412793085,-118.489778750415,23.003474561671226,0.40863702854231443,467.96203238414296,6536.0,35819.0,168.54841238535818,33.983333333333334,los_angeles,Los Angeles,LAX,0.40863702854231443,0.012085979574671089,0.4645674888051745,0.16284691136974036,0.10626619056098977,0.026519116542664072,0.17061555306731824,17.06%,40.9%,$0k,"6,536","35,819"
90212,90212,B5,G6350,S,2451840,0,+34.0621605,-118.4018817,2.45184,34.06216041826966,-118.40188176890813,14.614154484569056,0.4561666754167966,545.3293430656935,1451.0,10881.0,591.8004437483686,28.933333333333334,los_angeles,Los Angeles,LAX,0.4561666754167966,0.042435808051820054,0.10313455114080602,0.13572068039391225,0.12383498634168681,0.018420103086586478,0.14062880095501293,14.06%,45.6%,$1k,"1,451","10,881"
90025,90025,B5,G6350,S,6606767,3875,+34.0454209,-118.4458730,6.606767,34.045534757283214,-118.4458106599919,18.63554037860016,0.18204143971679432,243.18033359193174,4991.0,44429.0,755.4375687836426,20.983333333333334,los_angeles,Los Angeles,LAX,0.18204143971679432,0.05416961748286057,0.3547515814912218,0.09301700984780661,0.055222103251641785,0.008652164121026953,0.10020064721192878,10.02%,18.2%,$0k,"4,991","44,429"
91105,91105,B5,G6350,S,10866791,85275,+34.1394598,-118.1666485,10.866791,34.14050035644464,-118.16712533889554,12.088033090938419,0.26870611773407105,316.74903703703706,2292.0,12692.0,210.91783213646053,42.18333333333333,los_angeles,Los Angeles,LAX,0.26870611773407105,0.015124133031327277,0.16291136541332008,0.20689346463742164,0.07192830016208886,0.04280490570967604,0.1262684392352322,12.63%,26.9%,$0k,"2,292","12,692"
92603,92603,B5,G6350,S,25865593,0,+33.6292589,-117.7940798,25.865593,33.62925920166835,-117.79407956581066,62.73817289868404,0.23372995542540628,317.22632158590307,3361.0,19329.0,129.94096056487086,59.15,los_angeles,Los Angeles,LAX,0.23372995542540628,0.009317582842071298,0.23889402231857274,0.2980304386750224,0.07203668333702981,0.08882214237682627,0.1401628179956915,14.02%,23.4%,$0k,"3,361","19,329"
92618,92618,B5,G6350,S,53592089,0,+33.6673066,-117.7335801,53.592089,33.667308589327575,-117.7335769617936,63.64229717725395,0.08507180359425917,172.51490984743413,6830.0,59386.0,127.44418303977663,62.8,los_angeles,Los Angeles,LAX,0.08507180359425917,0.009138548214905576,0.485464496410548,0.3176365264100268,0.039175191609157146,0.10089296290982766,0.09976637943477036,9.98%,8.5%,$0k,"6,830","59,386"
90211,90211,B5,G6350,S,1813406,0,+34.0649562,-118.3829813,1.813406,34.064956251064515,-118.38298127735312,12.908915930539965,0.23043931418686367,425.0344422700587,1077.0,9208.0,593.9100234586188,29.766666666666666,los_angeles,Los Angeles,LAX,0.23043931418686367,0.04258707816423696,0.07655128296254175,0.14019695613249775,0.09651806751744621,0.019655186508817497,0.09543155508287825,9.54%,23.0%,$0k,"1,077","9,208"
90265,90265,B5,G6350,S,287514072,18899707,+34.0702448,-118.8510422,287.514072,34.07019699299227,-118.84570759713309,55.4919340612581,0.35368207010669783,378.9732673267327,2917.0,16652.0,10.145590369573284,67.55,los_angeles,Los Angeles,LAX,0.35368207010669783,0.0007275025391475855,0.20733527613902908,0.34315129811996414,0.08605836084198552,0.11775281340141651,0.13741017026928706,13.74%,35.4%,$0k,"2,917","16,652"
91361,91361,B5,G6350,S,74766396,1754605,+34.1372832,-118.8820443,74.766396,34.14015067119179,-118.88398771067625,59.76335628851289,0.23931309266356846,316.61771037181995,2661.0,18753.0,35.59085554959744,55.13333333333333,los_angeles,Los Angeles,LAX,0.23931309266356846,0.0025520878371374746,0.18913924230577867,0.2764547896150403,0.07189847811785036,0.07642725070109618,0.11539281544613655,11.54%,23.9%,$0k,"2,661","18,753"
