zipcode,city_key,total_establishments,total_employment,total_payroll_K,detailed_establishments,power_establishments,power_estab_pct,power_employment,estimated_revenue_M,power_revenue_M,power_emp_pct,power_rev_pct,city_name
2330,other,219,1498,73351,818.0,110.0,0.1344743276283618,201,264.9,70.35,13.41789052069426,26.557191392978485,Other
2332,other,339,2483,127611,1301.0,460.0,0.3535741737125288,877,547.85,306.95,35.32017720499396,56.02810988409236,Other
2333,other,268,2010,96138,977.0,107.0,0.1095189355168884,220,345.5,77.0,10.945273631840797,22.286541244573083,Other
2338,other,111,1030,39634,357.0,26.0,0.072829131652661,75,169.5,26.25,7.281553398058252,15.486725663716811,Other
2339,other,647,6946,382330,2773.0,582.0,0.2098809953119365,1457,1333.3,509.95,20.976101353296865,38.2472061801545,Other
2341,other,195,1309,61730,676.0,85.0,0.1257396449704142,164,229.15,57.4,12.528647822765471,25.04909447959852,Other
2343,other,270,2432,151593,1002.0,102.0,0.1017964071856287,247,414.2,86.45,10.15625,20.871559633027527,Other
2346,other,572,6062,280609,2415.0,345.0,0.1428571428571428,866,1082.5,303.1,14.285714285714285,28.000000000000004,Other
2347,other,307,2559,192940,1119.0,306.0,0.2734584450402145,699,523.65,244.65,27.315357561547483,46.72013749641937,Other
2038,other,857,14001,871240,3742.0,998.0,0.2667022982362373,3734,2846.95,1306.9,26.66952360545676,45.9052670401658,Other
2043,other,926,18521,1060905,4103.0,1599.0,0.3897148427979527,7217,4221.549999999999,2525.95,38.96657847848388,59.83465788632139,Other
2045,other,173,960,39226,611.0,119.0,0.1947626841243862,186,181.2,65.1,19.375,35.9271523178808,Other
2047,other,4,22,727,0.0,0.0,0.0,0,3.3,0.0,0.0,0.0,Other
2048,other,611,11294,864452,2582.0,721.0,0.2792408985282726,3153,2324.7,1103.55,27.917478307065696,47.4706413730804,Other
2050,other,529,4498,236022,2213.0,577.0,0.2607320379575237,1172,909.1,410.2,26.05602489995554,45.12154878451216,Other
2052,other,317,2352,112378,1228.0,355.0,0.2890879478827362,679,488.6,237.65,28.869047619047617,48.63896848137536,Other
2053,other,338,2958,164300,1307.0,248.0,0.1897475133894414,561,555.9,196.35,18.96551724137931,35.321100917431195,Other
2054,other,201,1325,61596,717.0,110.0,0.1534170153417015,203,239.35,71.05,15.320754716981131,29.684562356381868,Other
2056,other,222,1718,115491,773.0,223.0,0.2884864165588616,495,356.7,173.25,28.81257275902212,48.570227081581166,Other
2061,other,606,10729,769968,2630.0,1138.0,0.4326996197718631,4642,2537.75,1624.7,43.265914810327146,64.02127869175452,Other
2062,other,1221,24007,1752277,5552.0,1361.0,0.2451368876080691,5885,4778.05,2059.75,24.51368350897655,43.10859032450477,Other
2066,other,370,2757,131868,1450.0,361.0,0.2489655172413793,686,550.75,240.1,24.882118244468625,43.59509759418974,Other
2067,other,366,2728,175142,1415.0,596.0,0.4212014134275618,1149,639.0,402.15,42.11876832844575,62.93427230046949,Other
2071,other,18,106,7094,32.0,0.0,0.0,0,15.9,0.0,0.0,0.0,Other
2072,other,927,13704,788196,4121.0,957.0,0.2322251880611502,3182,2692.0,1113.7,23.21949795680093,41.37072808320952,Other
2081,other,610,7437,484983,2544.0,588.0,0.2311320754716981,1718,1459.15,601.3,23.10071265295145,41.20892300311824,Other
2090,other,491,15379,1220457,2007.0,816.0,0.4065769805680119,6252,3557.25,2188.2,40.65283828597438,61.51380982500526,Other
2093,other,447,5432,216776,1776.0,263.0,0.1480855855855855,804,975.6,281.4,14.80117820324006,28.843788437884378,Other
2108,other,1087,19066,2139545,5110.0,2711.0,0.5305283757338551,10115,4882.9,3540.25,53.05255428511486,72.50302074586824,Other
