cluster_id,num_zips,avg_distance_airport_km,avg_travel_time_min,avg_speed_kmh,avg_distance_heliport_km,avg_combined_score,total_employment,total_revenue_M,min_distance_airport,max_distance_airport,min_travel_time,max_travel_time,city_key,city_name,algorithm
0,3,12.09903441222774,18.148551618341614,40.0,,0.15517372197577234,28631,5726.2,8.29753559816364,14.397530532663142,12.446303397245458,21.596295798994714,los_angeles,Los Angeles,K-Means
1,4,27.49857386116898,41.24786079175347,40.0,,0.1428149768734912,46884,9376.8,26.0181270776752,30.791943589447076,39.0271906165128,46.187915384170616,los_angeles,Los Angeles,K-Means
2,7,8.801630420656299,13.202445630984451,40.0,,0.17743824144818868,90333,18066.6,4.698183820183034,12.996840175922554,7.047275730274551,19.49526026388383,los_angeles,Los Angeles,K-Means
3,4,22.8817739486054,34.3226609229081,40.0,,0.17600013144580176,66887,13377.4,19.32342242231295,25.803210634523506,28.985133633469427,38.70481595178526,los_angeles,Los Angeles,K-Means
4,13,7.36620604226459,11.049309063396883,40.0,,0.20162040441642184,235471,47094.2,3.1892453000811716,11.119171124322893,4.783867950121757,16.67875668648434,los_angeles,Los Angeles,K-Means
5,5,6.414279435652685,9.621419153479028,40.0,,0.15221476497356973,44371,8874.199999999999,4.157756291978111,8.676394211418497,6.236634437967167,13.014591317127746,los_angeles,Los Angeles,K-Means
6,4,19.509966361984343,29.264949542976513,40.0,,0.15090854664382997,33792,6758.4,15.441966258977386,22.32041573188849,23.162949388466078,33.48062359783274,los_angeles,Los Angeles,K-Means
7,4,13.069808676834109,19.60471301525116,40.0,,0.18824152777617958,109051,21810.2,10.855522539239853,16.717803241647314,16.283283808859778,25.07670486247097,los_angeles,Los Angeles,K-Means
0,2,12.120943931095713,18.18141589664357,40.0,,0.15372575542638836,31615,6323.0,10.896486530130781,13.345401332060645,16.344729795196173,20.018101998090966,new_york,New York,K-Means
1,17,8.944965740818008,13.417448611227014,40.0,,0.308197425015841,1169011,233802.2,6.550502238639864,10.909935024238573,9.825753357959796,16.36490253635786,new_york,New York,K-Means
2,2,21.767819432616832,32.65172914892525,40.0,,0.14800597721918635,936,187.2,20.9552837853742,22.580355079859462,31.4329256780613,33.870532619789195,new_york,New York,K-Means
3,4,18.33860324166332,27.507904862494982,40.0,,0.16877761834913446,29384,5876.799999999999,16.96034860935357,19.165466400699955,25.440522914030353,28.748199601049933,new_york,New York,K-Means
4,4,5.263722994075728,7.895584491113592,40.0,,0.16711409502390506,52941,10588.199999999999,3.3021110953677972,7.078978273955623,4.953166643051696,10.618467410933434,new_york,New York,K-Means
5,5,10.953078936415707,16.42961840462356,40.0,,0.1585681649016613,55654,11130.800000000003,9.725774513665073,13.13228477120376,14.588661770497609,19.698427156805643,new_york,New York,K-Means
6,5,5.485086017078727,8.227629025618091,40.0,,0.1590417142874057,85401,17080.2,3.1050512115658964,7.384104434895853,4.657576817348844,11.07615665234378,new_york,New York,K-Means
7,17,12.817590154179523,19.226385231269283,40.0,,0.22545933611009272,612029,122405.79999999999,10.8646829781285,15.690734804502275,16.29702446719275,23.536102206753412,new_york,New York,K-Means
8,6,16.58077318772597,24.871159781588954,40.0,,0.14545143448299472,93691,18738.199999999997,15.420628463985468,19.119028932849425,23.130942695978202,28.678543399274137,new_york,New York,K-Means
9,1,19.480224295148947,29.220336442723422,39.99999999999999,,0.1284504664283074,6344,1268.8,19.480224295148947,19.480224295148947,29.220336442723422,29.220336442723422,new_york,New York,K-Means
10,2,13.391324778212272,20.08698716731841,40.0,,0.1512668774852799,16268,3253.6,12.971036012872988,13.811613543551557,19.456554019309483,20.717420315327335,new_york,New York,K-Means
11,1,2.939791974551581,4.409687961827371,40.0,,0.1319936307022153,11101,2220.2,2.939791974551581,2.939791974551581,4.409687961827371,4.409687961827371,new_york,New York,K-Means
12,3,10.180386156566263,15.270579234849393,40.0,,0.18650642358407452,29348,5869.6,7.695456333645289,12.957767696574024,11.543184500467934,19.436651544861036,new_york,New York,K-Means
13,1,5.835606182868263,8.753409274302395,39.99999999999999,,0.1444550852463467,28215,5643.0,5.835606182868263,5.835606182868263,8.753409274302395,8.753409274302395,new_york,New York,K-Means
0,6,13.23643800151133,19.854657002266993,40.0,,0.16158933592730748,63051,12610.2,11.126151430197698,15.689028696461023,16.68922714529655,23.533543044691534,chicago,Chicago,K-Means
1,4,7.370019969320937,11.055029953981407,40.0,,0.14071567119751927,50646,10129.2,3.0429203967006115,11.23965346131402,4.564380595050917,16.85948019197103,chicago,Chicago,K-Means
2,9,16.438047985986103,24.65707197897916,40.0,,0.26558663135935107,554644,110928.8,14.337870314684446,19.081749236657604,21.50680547202667,28.622623854986408,chicago,Chicago,K-Means
0,7,6.9216223838982245,10.382433575847339,40.0,,0.19697498383674028,183781,36756.200000000004,5.216766466131749,10.209954572459619,7.825149699197624,15.314931858689429,dallas,Dallas,K-Means
1,5,8.097915388396832,12.146873082595246,40.0,,0.16748702847470903,116693,23338.6,6.34951045815127,10.397912334084728,9.524265687226904,15.59686850112709,dallas,Dallas,K-Means
2,3,4.694097987223308,7.041146980834962,40.0,,0.16280473851629418,73146,14629.2,2.87620437769134,7.375519917395569,4.3143065665370095,11.063279876093354,dallas,Dallas,K-Means
0,13,18.05331339082428,27.079970086236422,40.0,,0.2041271359011758,413637,82727.4,14.954748351397912,21.736626231310524,22.43212252709687,32.604939346965786,houston,Houston,K-Means
1,4,6.284270884889338,9.426406327334007,40.0,,0.17516224727678487,113145,22629.0,4.733156976204535,8.122008341855746,7.099735464306803,12.18301251278362,houston,Houston,K-Means
2,2,14.56355503734785,21.845332556021773,40.00000000000001,,0.14621912837593415,16609,3321.7999999999997,13.78494970297869,15.34216037171701,20.677424554468033,23.013240557575514,houston,Houston,K-Means
3,2,6.524165312038145,9.786247968057216,40.0,,0.15748967262961144,33289,6657.8,6.4068266931882505,6.641503930888038,9.610240039782376,9.962255896332056,houston,Houston,K-Means
0,3,15.492616363640977,23.23892454546146,40.0,,0.14781934915685377,17908,3581.6,14.883728640044307,15.944207346648893,22.32559296006646,23.91631101997334,miami,Miami,K-Means
1,3,6.569988423792156,9.854982635688234,40.0,,0.15704907230729245,38351,7670.2,4.584847843386811,8.79904312043536,6.877271765080216,13.19856468065304,miami,Miami,K-Means
0,5,14.687173260949375,22.030759891424065,40.0,,0.14368768453432507,32362,6472.4,8.10633446224278,20.984527951193,12.15950169336417,31.476791926789502,san_francisco,San Francisco,K-Means
1,7,8.278313937825443,12.417470906738163,40.0,,0.1944887408467319,154519,30903.800000000003,3.601948411803746,12.816061031104555,5.402922617705618,19.224091546656833,san_francisco,San Francisco,K-Means
2,6,15.131719371727788,22.697579057591682,40.0,,0.13543678434874237,37544,7508.799999999999,11.245152213958692,19.75787264409735,16.86772832093804,29.636808966146027,san_francisco,San Francisco,K-Means
