City,Top10_Zips,Total_HH200k,Sum_HH_AGI,Sum_HH_AGI_Speed,Weighted_Speed_by_HH_AGI,Simple_Avg_Speed,Median_Speed,Weighted_AGI_by_HH,Simple_Avg_AGI,Median_AGI,National_Weighted_Speed,National_Weighted_AGI
Los Angeles,46,169722.0,53702088.48991064,2412825450.497048,44.92982523296764,47.97977605821103,47.61452731090997,316.412064964534,365.1106129302942,321.82464489189147,42.01208820488366,362.75403637582497
New York,132,476222.0,176135975.9634339,5605576962.003307,31.825281185980053,34.88486543139663,34.22682008906191,369.8610647207267,398.27608377868125,342.87006734510624,42.01208820488366,362.75403637582497
Chicago,20,92187.0,29281256.370564204,1242601415.4521089,42.43675202069773,41.942006052596774,41.253966619527375,317.62891048156683,419.4058166322517,322.44256352999594,42.01208820488366,362.75403637582497
Dallas,17,61850.0,22401552.006067436,1071237591.350079,47.81979351519642,49.718092897383144,48.72022294978983,362.1916249970483,357.00253028006375,279.16296800544586,42.01208820488366,362.75403637582497
Houston,28,117330.0,29900266.075446658,1646004092.0781581,55.04981420315236,55.38611840391034,55.377750796081266,254.839052888832,256.7198293072312,204.65939882973703,42.01208820488366,362.75403637582497
Miami,6,10846.0,9133505.321662756,385113077.98901975,42.16487147334468,41.31674137554577,44.52621476574306,842.10818012749,1376.602148072672,803.0493949786764,42.01208820488366,362.75403637582497
San Francisco,23,112183.0,56832889.97614008,3491479784.9997487,61.43414115427814,60.443158352244104,60.41850292637865,506.608755124574,636.4023602351393,457.2251408090118,42.01208820488366,362.75403637582497
