city,total_zips,clean_zips,problematic_zips,mean_distance_km,median_distance_km,mean_travel_time_min,median_travel_time_min,mean_speed_kmh,median_speed_kmh
chicago,39,39,0,38.17031645288391,38.36825721617465,49.23931623931624,50.25,47.23041769570856,46.12474522009819
dallas,43,33,10,32.629784135966716,35.225524796460135,29.183838383838385,26.183333333333334,73.19533669197433,74.03096005518725
houston,28,28,0,40.538949138473434,41.49844445517194,41.310714285714276,40.166666666666664,60.202695724920105,58.953879170265154
los_angeles,92,90,2,35.79095351444963,35.63650889826964,68.510697809724,55.766666666666666,38.23727564500972,35.286080189830315
miami,32,27,5,32.18465620789411,32.43264384002493,116.88395061728396,67.45,29.404455538992423,17.973500961577308
new_york,69,45,24,29.505236406630665,22.091826677757822,56.904689290978496,59.35,34.00463608168338,22.821171360771416
san_francisco,57,49,8,35.59813470803785,37.27599927897724,39.19183673469388,37.3,58.87460413257807,57.53061825472689
