zipcode,GEOID20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,Area_km2,centroid_lat,centroid_lon,dist_to_center,IRS_Wealth_Raw,AGI_per_return,Households_200k,Population,HH200k_per_km2,Travel_Time_Min,city_key,city_name,airport_code,IRS_Norm,Density_Norm,Pop200k_Norm,Time_Norm,AGI_Norm,Time_Squared,Geometric_Score,Score_Fmt,IRS_Fmt,AGI_Fmt,HH200k_Fmt,Pop_Fmt,Corporate_Power_Index,total_employment,estimated_revenue_M,power_employment,power_emp_pct,Combined_Score
92657,92657,B5,G6350,S,21494836,1549909,33.5950576,-117.8291306,21.494836,33.59436721799165,-117.83207751349411,63.54136466592712,0.5677916084465495,619.1735234215886,1775.0,9169.0,82.5779736118945,57.16666666666666,los_angeles,Los Angeles,LAX,0.5677916084465495,0.0059213592597315,0.1261639064610135,0.2873769024171889,0.1406037393568417,0.0825854840428985,0.1810941395478559,18.11%,56.8%,$1k,"1,775","9,169",17.493831798018988,2664,691.8,1461,54.84234234234234,0.1780162287640229
92629,92629,B5,G6350,S,13103804,3032515,33.4750606,-117.7056302,13.103804,33.47479637705235,-117.70556228347525,81.22061812403606,0.1367025742231173,177.70710659898478,3107.0,26144.0,237.1067210712248,75.93333333333334,los_angeles,Los Angeles,LAX,0.1367025742231173,0.0170020408221477,0.2208401449996446,0.3881826320501342,0.0403542508730452,0.1506857558253699,0.1245571025887967,12.46%,13.7%,$0k,"3,107","26,144",15.54823755008186,7858,1832.3,3268,41.58819037923136,0.1400197390448076
91108,91108,B5,G6350,S,9813448,18177,34.1223718,-118.1142336,9.813448,34.122335582410265,-118.11356612305816,14.298139852258853,0.330664870447992,369.2759433962264,1740.0,12559.0,177.30771080664005,45.23333333333333,los_angeles,Los Angeles,LAX,0.330664870447992,0.0127140762758492,0.1236761674603738,0.2232766338406445,0.0838562640875101,0.0498524552192092,0.1343126831967047,13.43%,33.1%,$0k,"1,740","12,559",16.894879742065573,2632,673.2,1392,52.88753799392097,0.1516307403086802
90049,90049,B5,G6350,S,38778176,1359,34.0925404,-118.4910639,38.778176,34.08750412793085,-118.489778750415,23.003474561671226,0.4086370285423144,467.96203238414296,6536.0,35819.0,168.54841238535818,33.983333333333334,los_angeles,Los Angeles,LAX,0.4086370285423144,0.012085979574671,0.4645674888051745,0.1628469113697403,0.1062661905609897,0.026519116542664,0.1706155530673182,17.06%,40.9%,$0k,"6,536","35,819",24.80258221981313,15669,4301.35,9755,62.25668517454848,0.2093206876327247
90212,90212,B5,G6350,S,2451840,0,34.0621605,-118.4018817,2.45184,34.06216041826966,-118.40188176890813,14.614154484569056,0.4561666754167966,545.3293430656935,1451.0,10881.0,591.8004437483686,28.933333333333334,los_angeles,Los Angeles,LAX,0.4561666754167966,0.04243580805182,0.103134551140806,0.1357206803939122,0.1238349863416868,0.0184201030865864,0.1406288009550129,14.06%,45.6%,$1k,"1,451","10,881",25.17401937829356,13450,3803.3,8929,66.38661710037175,0.1961844973689742
90025,90025,B5,G6350,S,6606767,3875,34.0454209,-118.445873,6.606767,34.045534757283214,-118.4458106599919,18.63554037860016,0.1820414397167943,243.1803335919317,4991.0,44429.0,755.4375687836426,20.98333333333333,los_angeles,Los Angeles,LAX,0.1820414397167943,0.0541696174828605,0.3547515814912218,0.0930170098478066,0.0552221032516417,0.0086521641210269,0.1002006472119287,10.02%,18.2%,$0k,"4,991","44,429",31.3211404300102,33621,9117.35,20371,60.59010737336784,0.2067060257560153
91105,91105,B5,G6350,S,10866791,85275,34.1394598,-118.1666485,10.866791,34.14050035644464,-118.16712533889554,12.08803309093842,0.268706117734071,316.74903703703706,2292.0,12692.0,210.91783213646053,42.18333333333333,los_angeles,Los Angeles,LAX,0.268706117734071,0.0151241330313272,0.16291136541332,0.2068934646374216,0.0719283001620888,0.042804905709676,0.1262684392352322,12.63%,26.9%,$0k,"2,292","12,692",20.78602984104691,20835,4881.05,8779,42.1358291336693,0.1670643688228506
92603,92603,B5,G6350,S,25865593,0,33.6292589,-117.7940798,25.865593,33.62925920166835,-117.79407956581066,62.73817289868404,0.2337299554254062,317.22632158590307,3361.0,19329.0,129.94096056487086,59.15,los_angeles,Los Angeles,LAX,0.2337299554254062,0.0093175828420712,0.2388940223185727,0.2980304386750224,0.0720366833370298,0.0888221423768262,0.1401628179956915,14.02%,23.4%,$0k,"3,361","19,329",16.896597701517244,2551,653.05,1352,52.99882399059192,0.1545643975054319
92618,92618,B5,G6350,S,53592089,0,33.6673066,-117.7335801,53.592089,33.667308589327575,-117.7335769617936,63.64229717725395,0.0850718035942591,172.51490984743413,6830.0,59386.0,127.44418303977665,62.8,los_angeles,Los Angeles,LAX,0.0850718035942591,0.0091385482149055,0.485464496410548,0.3176365264100268,0.0391751916091571,0.1008929629098276,0.0997663794347703,9.98%,8.5%,$0k,"6,830","59,386",52.96315764214188,98556,24265.800000000003,47412,48.10666017289663,0.3146989779280945
90211,90211,B5,G6350,S,1813406,0,34.0649562,-118.3829813,1.813406,34.064956251064515,-118.38298127735312,12.908915930539964,0.2304393141868636,425.0344422700587,1077.0,9208.0,593.9100234586188,29.766666666666666,los_angeles,Los Angeles,LAX,0.2304393141868636,0.0425870781642369,0.0765512829625417,0.1401969561324977,0.0965180675174462,0.0196551865088174,0.0954315550828782,9.54%,23.0%,$0k,"1,077","9,208",20.139634356383123,10730,2750.1,5703,53.15004659832246,0.1484139493233547
