zipcode,city_key,total_establishments,total_employment,total_payroll_K,detailed_establishments,power_establishments,power_estab_pct,power_employment,estimated_revenue_M,power_revenue_M,power_emp_pct,power_rev_pct,city_name,revenue_per_employee,distance_km,distance_squared,Revenue_Norm,Employment_Norm,Distance_Norm,Corporate_Score,threshold_90,payroll_per_employee,PayrollPerEmp_Norm,centroid_lat,centroid_lon,Travel_Time_Min,RevPerEmp_Norm,PowerShare_Norm,Time_Norm,Time_Squared
10001,new_york,6626,141331,16437815,32656.0,14064.0,0.430671239588437,60867,33410.168,20938.248,43.06698459644381,63.83429144174716,New York,236396.60088727876,22.12102500968672,489.3397474791853,0.6404196493621385,0.7893490463291352,0.9746311210386076,0.3139469217209177,0.09375874021779589,116307.21497760576,0.1008366956662038,40.75064901865221,-73.99729793261906,68.2,0.43066984596443797,0.4306698459644381,0.15141141367709676,0.022925416191696923
10003,new_york,4093,82374,7643447,20082.0,9417.0,0.4689273976695548,38627,20068.473,13287.688,46.892223274334135,67.32290914523318,New York,243626.30198849153,20.445147851957,418.0040706883819,0.3846782560944211,0.4600631126253177,0.9783333431222714,0.22856617480256236,0.09375874021779589,92789.55738461165,0.0786446098837139,40.731864670446335,-73.98912405000999,60.06666666666667,0.4689222327433415,0.4689222327433413,0.13335452954356228,0.017783430549784825
10004,new_york,1488,49746,5798290,7071.0,4274.0,0.6044406731721115,30068,13393.482,10343.392,60.44305069754352,78.09580349523209,New York,269237.36581835727,21.085123173798987,444.5824192542751,0.25672813443525594,0.2778295959116423,0.97695396391912,0.1471295540503974,0.09375874021779589,116557.91420415712,0.1010732642410813,40.693981956893325,-74.01825481659536,31.627684760698486,0.6044305069754353,0.6044305069754352,0.07021689825441244,0.004930412800470508
10005,new_york,1300,34751,5769310,6050.0,4089.0,0.6758677685950413,23487,9825.448,8079.528,67.58654427210728,82.95064101593836,New York,282738.56867428275,20.742720815971136,430.2604668493223,0.18833397714215436,0.19407970063391886,0.9776972532640896,0.1651270604798724,0.09375874021779589,166018.53184081035,0.1477460361830678,40.706215078571084,-74.0086868289593,62.13333333333333,0.6758654427210729,0.6758654427210727,0.13794275420044397,0.0190282034364041
10006,new_york,775,16856,2283366,3550.0,2282.0,0.6428169014084507,10835,4660.495,3727.24,64.2797816801139,80.7652170209141,New York,276488.78737541527,21.215294914055484,450.0887382903485,0.08932914481895425,0.09413275992069033,0.9766681936446636,0.10991275635043429,0.09375874021779589,135463.09919316563,0.1189128592496803,40.70948971878726,-74.01305356730325,63.733333333333334,0.642797816801139,0.642797816801139,0.1414949281283524,0.020020814686047612
10007,new_york,1410,40684,6181201,6619.0,3956.0,0.5976733645565795,24315,10901.555,8364.36,59.76550978271556,77.60861238783103,New York,267956.8134893324,20.9889967292101,440.5379836987923,0.2089614239159821,0.22721662151972968,0.9771638644808456,0.17286702766587397,0.09375874021779589,151931.98800511257,0.1344534798158157,40.713868173479035,-74.00786561807205,63.06666666666667,0.5976550978271555,0.5976550978271556,0.14001485565839056,0.019604159805039944
10010,new_york,2687,61252,9346688,13013.0,6580.0,0.5056481979558902,30971,15347.579,10654.024,50.56324691438648,70.47100507086205,New York,250564.5366681904,20.382954937390338,415.46485197968514,0.2941854057460052,0.3420927699740289,0.978465125030028,0.193002822028118,0.09375874021779589,152594.00509371122,0.1350781823382315,40.73904486808242,-73.98261654063424,55.25,0.5056324691438647,0.5056324691438648,0.12266100594808793,0.015045722380196863
10011,new_york,3536,65245,11794663,17233.0,7501.0,0.4352695409969245,28399,15480.386,9769.256,43.52670702735842,64.265463209313,New York,237265.4762817074,21.83266085499456,476.6650800092119,0.2967311278012393,0.36439442598229493,0.9752889185940724,0.20111510816233188,0.09375874021779589,180774.9712621657,0.1616707294986295,40.74183997592639,-74.0005282448936,64.23333333333333,0.43526707027358424,0.4352670702735842,0.1426049824808238,0.02033618102835606
10012,new_york,2551,32102,3425936,12327.0,4884.0,0.3962034558286688,12718,7379.512,4374.992,39.61746931655348,60.48865998994416,New York,229877.0170082861,20.773513489745746,431.5388627086485,0.14144884894190185,0.17928453740679717,0.9776309063028638,0.13319631240815974,0.09375874021779589,106720.3289514672,0.0917901740797002,40.72562550926712,-73.9979364916221,66.03333333333333,0.39617469316553494,0.39617469316553483,0.14660117814972076,0.021491905434886164
10013,new_york,4574,68109,9403349,22378.0,9795.0,0.4377066761998391,29811,16191.174,10254.984,43.76954587499449,64.49187349917021,New York,237724.4417037396,21.02738263073829,442.1508202994744,0.31035592685697955,0.38039040464687646,0.9770801605118218,0.20777851762226565,0.09375874021779589,138063.23687031082,0.1213664402727614,40.7200512331036,-74.00480924437629,65.36666666666666,0.4376954587499451,0.4376954587499449,0.14512110567975892,0.021060135313715755
10014,new_york,2138,30807,5249300,10232.0,4494.0,0.4392103205629398,13530,7332.255,4654.32,43.918589930859866,64.63037648166724,New York,238006.13496932515,21.815382727071466,475.91092352860807,0.14054299919629962,0.17205171884163198,0.9753280582630662,0.1361235514065544,0.09375874021779589,170393.09247898206,0.1518740248893891,40.73414569699566,-74.00602626728163,67.4,0.4391858993085988,0.43918589930859864,0.14963532671314256,0.022390731000548916
10016,new_york,5097,109431,13746113,24993.0,11653.0,0.4662505501540431,51022,26604.963,17551.568,46.62481380961519,67.08616573469001,New York,243120.89810017272,20.43568188138372,417.6170939571148,0.5099735097844883,0.6111815465385797,0.978353426674637,0.25376956848819987,0.09375874021779589,125614.43283895787,0.1096193125726162,40.74518169437849,-73.97805328715827,53.06666666666667,0.46624813809615206,0.4662481380961519,0.1178137686089629,0.013880084073846251
10017,new_york,4754,138890,23199036,23311.0,12495.0,0.5360130410535798,74446,35598.244,25609.424,53.60069119447044,72.93989536065303,New York,256305.30635754913,20.534457652941565,421.6639511004505,0.682361966647585,0.7757156022229048,0.9781434004358808,0.3133468776729544,0.09375874021779589,167031.72294621644,0.1487021188131647,40.752386790496814,-73.97267780008853,57.06666666666667,0.5360069119447044,0.5360069119447044,0.12669420342873397,0.016051421182441426
10018,new_york,5641,123799,12854197,27743.0,10728.0,0.386692138557474,47872,28236.653,16467.968,38.66913303015372,59.53329720990966,New York,228084.66142699053,22.091826677757822,488.0488059600922,0.5412506956278914,0.6914295288893854,0.9746981191020692,0.2825508641815515,0.09375874021779589,103831.1860354284,0.0890638775862218,40.755326781054244,-73.99269637687013,69.08333333333333,0.3866913303015373,0.38669133030153724,0.1533725096997962,0.023523126731614084
10019,new_york,4377,125460,23385010,21456.0,10417.0,0.4855052199850858,60911,30958.479,20953.384,48.550135501355015,68.76782189076552,New York,246759.75609756098,22.28033977525015,496.413540500594,0.5934242443016018,0.7007065262922729,0.9742640010515649,0.30952871637148605,0.09375874021779589,186394.14952973052,0.1669731830124544,40.76581497077318,-73.98518142627411,69.66666666666667,0.48550135501355024,0.48550135501355013,0.15466757311101284,0.023922058172050502
