city_key,zip_count,total_estab,total_emp,total_payroll_K,detail_estab,power_estab,power_estab_share,power_emp,power_rev_M,power_emp_pct,payroll_B
other,27319,5744548,86937944,5005233342,23227775.0,6362021.0,0.27389713392694737,23484575,8219601.25,27.013032422298828,5005.233342
new_york,919,561298,7672470,674598544,2485862.0,730370.0,0.29380955177721046,2455437,859402.95,32.00321408881364,674.598544
los_angeles,638,564116,7382959,520769844,2562709.0,914495.0,0.3568469927721017,2492805,872481.75,33.764307779577265,520.769844
miami,430,344396,3890058,222227514,1544299.0,530006.0,0.3432016727330653,1303394,456187.9,33.50577292163767,222.227514
dallas,561,220487,3744154,236147094,941513.0,291765.0,0.309889507632927,1165805,408031.75,31.136673331278576,236.147094
chicago,392,234926,3726889,273564481,1033637.0,303375.0,0.29350245782610335,1198653,419528.55000000005,32.16229407422652,273.564481
san_francisco,288,201947,3456825,499564396,905988.0,323794.0,0.35739325465679456,1331931,466175.85,38.53047232648456,499.564396
houston,370,175471,2858213,187440317,760971.0,224520.0,0.29504409497865225,824100,288435.0,28.832700711948338,187.440317
