query_airport,n_flights,total_premium_seats,avg_premium_seats,n_aircraft_types
KJFK,1017406,49786789.78191743,48.93502670705444,20
KLAX,652781,42734277.92487885,65.4649536749367,20
KORD,407303,36974797.80730196,90.77958622279228,17
KDFW,529478,31292697.169545047,59.10103379091303,15
KSFO,383060,26126505.805975046,68.20473504405327,17
KIAH,145828,10719760.803221814,73.509619573894,18
