city,city_key,zip_count,total_employment,total_revenue_M,weighted_power_index,simple_avg_power,median_power,weighted_revenue_M,simple_avg_revenue_M,median_revenue_M
Los Angeles,los_angeles,92,3297433,761635.4119999999,26.066505803589,23.187605746939706,22.798064956445387,10207.863855164305,8278.645782608695,6802.128000000001
New York,new_york,69,3057610,710148.1760000001,34.937685519369914,26.004501703152638,22.02514234368087,15791.151806533206,10292.00255072464,7379.512
San Francisco,san_francisco,57,2156662,511736.411,29.684768374508817,24.555510668179583,21.677382546990163,11878.938830116633,8977.831771929825,6708.464
Dallas,dallas,43,1635937,375729.818,25.72331683529473,23.33152179865786,20.88372765122673,10190.899627997898,8737.902744186047,7592.715
Chicago,chicago,39,1565722,372058.92199999996,33.98264630815427,24.16963311416454,18.016191046949093,14971.339631444787,9539.972358974357,6512.731
Miami,miami,32,1071413,246121.099,23.30033567264377,22.19448511772473,21.934399855461564,8574.837820269122,7691.28434375,6631.144
Houston,houston,28,1028528,230053.786,24.764330513998114,21.766393062064065,19.408072719021696,10206.44862572628,8216.206642857143,6784.6885
