Rank,city,Combined_Score,hh_avg_score,corp_avg_score,intersection_pct,hh_total_200k,corp_total_employment,corp_total_revenue_B,corp_avg_rev_per_emp_k,hh_median_agi_k,total_zips,hh_top10_zips,corp_top10_zips,intersection_zips
1,New York,75.45843046350421,14.572165964350297,13.871396347500825,6.093579978237215,476222.0,4869267,1086.571434,217.3071841819356,0.3428700673451062,919,132,189,56
2,Los Angeles,52.007243270455795,13.362628385430982,14.040244255598125,3.761755485893417,169722.0,5281368,1179.463692,220.38179147247686,0.32182464489189144,638,46,224,24
3,San Francisco,47.11527458645237,11.499209443349368,15.468828338613102,1.7361111111111112,112183.0,2687968,625.0387249999999,226.74442389472168,0.45722514080901183,288,23,94,5
4,Chicago,45.008699996461644,13.747768054850019,14.366957094446903,3.061224489795918,92187.0,2548370,572.336995,213.29757694114096,0.32244256352999595,392,20,98,12
5,Houston,43.07914011231025,13.104540091004335,13.742126144035613,5.135135135135135,117330.0,1851552,401.50830600000006,213.55546773818853,0.20465939882973702,370,28,80,19
6,Dallas,39.22135721862231,12.872795764446456,14.528396552016469,2.13903743315508,61850.0,2452320,544.1714280000002,217.16183669067686,0.2791629680054459,561,17,94,12
7,Miami,18.39242612977384,12.672359730018709,12.619181719334271,0.6976744186046512,10846.0,2501738,556.782262,221.22967150637072,0.8030493949786764,430,6,135,3
