City,Airport,Top10_Zips,Weighted_Distance_km,Mean_Distance_km,Median_Distance_km,Min_Distance_km,Max_Distance_km,Centroid_to_Airport_km,Region_Spread_km,Bounding_Radius_km,Mean_Travel_Time_min,Median_Travel_Time_min,Avg_Speed_kmh,Centroid_Lat,Centroid_Lon
Los Angeles,LAX,43,59.811613691242016,49.921219019276585,56.24050750715409,5.578602003462867,101.39715989712779,33.233026201997774,156.83572617344524,78.41786308672262,55.516567593310654,54.833333333333336,50.44297880539889,33.81971943780427,-118.07979483923619
New York,JFK,104,45.37384593930778,39.78006251895637,38.44680914060507,10.650045488677954,138.81233494488123,24.29490513141032,215.80280254215455,107.90140127107728,69.07916666666667,65.025,33.12020751550604,40.80613522180602,-73.96733170843078
Chicago,ORD,22,25.215018936225785,24.3139768585972,23.991744518249547,17.199243794065335,38.155080792337486,8.42430850730512,65.02231048999782,32.51115524499891,35.05833333333333,33.40833333333333,41.96128665933527,41.96012452313167,-87.80717920585077
Dallas,DFW,10,29.419208676446264,27.00170754142864,25.06866988480017,10.177758262505641,44.09629153657931,19.99300019404219,50.585397879335325,25.292698939667662,30.785000000000004,30.175,50.90279366550146,32.98328238449007,-96.85054672170956
Houston,IAH,14,40.36890484529057,37.13776489593202,31.068486834581584,22.691123434342682,59.416436423908,27.978363570147263,89.30984432492515,44.654922162462576,39.665476190476184,33.46666666666667,55.56040280739914,29.780796906720592,-95.49769741076162
Miami,MIA,11,56.00114806464005,42.44980176231661,39.53622749606297,9.005088653938431,94.85585035795128,35.224174922729524,109.14418281471896,54.57209140735948,51.866666666666674,57.75,42.87928721396491,26.09706933447491,-80.17777791301364
San Francisco,SFO,68,47.488817984136936,38.758801672523646,38.872398800763136,5.358662933675829,99.22956147008983,22.79439320118463,161.5349976023871,80.76749880119355,38.69705882352942,35.075,61.14259879416104,37.597505611795185,-122.12197899257842
