zipcode,city_key,total_establishments,total_employment,total_payroll_K,detailed_establishments,power_establishments,power_estab_pct,power_employment,estimated_revenue_M,power_revenue_M,power_emp_pct,power_rev_pct,city_name,revenue_per_employee,distance_km,distance_squared,Revenue_Norm,Employment_Norm,Distance_Norm,Corporate_Score,threshold_90,payroll_per_employee,PayrollPerEmp_Norm,centroid_lat,centroid_lon,Travel_Time_Min,RevPerEmp_Norm,PowerShare_Norm,Time_Norm,Time_Squared,cluster,cluster_name
10001,new_york,6626,141331,16437815,32656.0,14064.0,0.430671239588437,60867,33410.168,20938.248,43.06698459644381,63.83429144174716,New York,236396.6008872788,22.12102500968672,489.3397474791853,0.6404196493621385,0.7893490463291352,0.9746311210386076,0.3139469217209177,0.0937587402177958,116307.21497760576,0.1008366956662038,40.75064901865221,-73.99729793261906,68.2,0.4306698459644379,0.4306698459644381,0.1514114136770967,0.0229254161916969,2,Empresas Médias
10003,new_york,4093,82374,7643447,20082.0,9417.0,0.4689273976695548,38627,20068.473,13287.688,46.892223274334135,67.32290914523318,New York,243626.30198849156,20.445147851957,418.0040706883819,0.3846782560944211,0.4600631126253177,0.9783333431222714,0.2285661748025623,0.0937587402177958,92789.55738461165,0.0786446098837139,40.731864670446335,-73.98912405000999,60.06666666666667,0.4689222327433415,0.4689222327433413,0.1333545295435622,0.0177834305497848,0,Mega Corporações
10004,new_york,1488,49746,5798290,7071.0,4274.0,0.6044406731721115,30068,13393.482,10343.392,60.44305069754352,78.09580349523209,New York,269237.36581835727,21.085123173798987,444.5824192542751,0.2567281344352559,0.2778295959116423,0.97695396391912,0.1471295540503974,0.0937587402177958,116557.91420415712,0.1010732642410813,40.693981956893325,-74.01825481659536,31.62768476069849,0.6044305069754353,0.6044305069754352,0.0702168982544124,0.0049304128004705,0,Mega Corporações
10005,new_york,1300,34751,5769310,6050.0,4089.0,0.6758677685950413,23487,9825.448,8079.528,67.58654427210728,82.95064101593836,New York,282738.56867428275,20.742720815971136,430.2604668493223,0.1883339771421543,0.1940797006339188,0.9776972532640896,0.1651270604798724,0.0937587402177958,166018.53184081035,0.1477460361830678,40.70621507857109,-74.0086868289593,62.13333333333333,0.6758654427210729,0.6758654427210727,0.1379427542004439,0.0190282034364041,1,Corporate Hub
10006,new_york,775,16856,2283366,3550.0,2282.0,0.6428169014084507,10835,4660.495,3727.24,64.2797816801139,80.7652170209141,New York,276488.78737541527,21.215294914055484,450.0887382903485,0.0893291448189542,0.0941327599206903,0.9766681936446636,0.1099127563504342,0.0937587402177958,135463.09919316563,0.1189128592496803,40.70948971878726,-74.01305356730325,63.73333333333333,0.642797816801139,0.642797816801139,0.1414949281283524,0.0200208146860476,1,Corporate Hub
10007,new_york,1410,40684,6181201,6619.0,3956.0,0.5976733645565795,24315,10901.555,8364.36,59.76550978271556,77.60861238783103,New York,267956.8134893324,20.9889967292101,440.5379836987923,0.2089614239159821,0.2272166215197296,0.9771638644808456,0.1728670276658739,0.0937587402177958,151931.98800511257,0.1344534798158157,40.71386817347904,-74.00786561807205,63.06666666666667,0.5976550978271555,0.5976550978271556,0.1400148556583905,0.0196041598050399,1,Corporate Hub
10010,new_york,2687,61252,9346688,13013.0,6580.0,0.5056481979558902,30971,15347.579,10654.024,50.56324691438648,70.47100507086205,New York,250564.5366681904,20.382954937390338,415.46485197968514,0.2941854057460052,0.3420927699740289,0.978465125030028,0.193002822028118,0.0937587402177958,152594.00509371122,0.1350781823382315,40.73904486808242,-73.98261654063424,55.25,0.5056324691438647,0.5056324691438648,0.1226610059480879,0.0150457223801968,0,Mega Corporações
10011,new_york,3536,65245,11794663,17233.0,7501.0,0.4352695409969245,28399,15480.386,9769.256,43.52670702735842,64.265463209313,New York,237265.4762817074,21.83266085499456,476.6650800092119,0.2967311278012393,0.3643944259822949,0.9752889185940724,0.2011151081623318,0.0937587402177958,180774.9712621657,0.1616707294986295,40.74183997592639,-74.0005282448936,64.23333333333333,0.4352670702735842,0.4352670702735842,0.1426049824808238,0.020336181028356,0,Mega Corporações
10012,new_york,2551,32102,3425936,12327.0,4884.0,0.3962034558286688,12718,7379.512,4374.992,39.61746931655348,60.48865998994416,New York,229877.0170082861,20.773513489745746,431.5388627086485,0.1414488489419018,0.1792845374067971,0.9776309063028638,0.1331963124081597,0.0937587402177958,106720.3289514672,0.0917901740797002,40.72562550926712,-73.9979364916221,66.03333333333333,0.3961746931655349,0.3961746931655348,0.1466011781497207,0.0214919054348861,1,Corporate Hub
10013,new_york,4574,68109,9403349,22378.0,9795.0,0.4377066761998391,29811,16191.174,10254.984,43.76954587499449,64.49187349917021,New York,237724.4417037396,21.02738263073829,442.1508202994744,0.3103559268569795,0.3803904046468764,0.9770801605118218,0.2077785176222656,0.0937587402177958,138063.23687031082,0.1213664402727614,40.7200512331036,-74.00480924437629,65.36666666666666,0.4376954587499451,0.4376954587499449,0.1451211056797589,0.0210601353137157,0,Mega Corporações
10014,new_york,2138,30807,5249300,10232.0,4494.0,0.4392103205629398,13530,7332.255,4654.32,43.918589930859866,64.63037648166724,New York,238006.13496932515,21.815382727071466,475.91092352860807,0.1405429991962996,0.1720517188416319,0.9753280582630662,0.1361235514065544,0.0937587402177958,170393.09247898206,0.1518740248893891,40.73414569699566,-74.00602626728163,67.4,0.4391858993085988,0.4391858993085986,0.1496353267131425,0.0223907310005489,1,Corporate Hub
10016,new_york,5097,109431,13746113,24993.0,11653.0,0.4662505501540431,51022,26604.963,17551.568,46.62481380961519,67.08616573469001,New York,243120.89810017272,20.43568188138372,417.6170939571148,0.5099735097844883,0.6111815465385797,0.978353426674637,0.2537695684881998,0.0937587402177958,125614.43283895787,0.1096193125726162,40.74518169437849,-73.97805328715827,53.06666666666667,0.466248138096152,0.4662481380961519,0.1178137686089629,0.0138800840738462,2,Empresas Médias
10017,new_york,4754,138890,23199036,23311.0,12495.0,0.5360130410535798,74446,35598.244,25609.424,53.60069119447044,72.93989536065303,New York,256305.30635754915,20.534457652941565,421.6639511004505,0.682361966647585,0.7757156022229048,0.9781434004358808,0.3133468776729544,0.0937587402177958,167031.72294621644,0.1487021188131647,40.752386790496814,-73.97267780008853,57.06666666666667,0.5360069119447044,0.5360069119447044,0.1266942034287339,0.0160514211824414,2,Empresas Médias
10018,new_york,5641,123799,12854197,27743.0,10728.0,0.386692138557474,47872,28236.653,16467.968,38.66913303015372,59.53329720990966,New York,228084.66142699053,22.091826677757822,488.0488059600922,0.5412506956278914,0.6914295288893854,0.9746981191020692,0.2825508641815515,0.0937587402177958,103831.1860354284,0.0890638775862218,40.75532678105424,-73.99269637687013,69.08333333333333,0.3866913303015373,0.3866913303015372,0.1533725096997962,0.023523126731614,2,Empresas Médias
10019,new_york,4377,125460,23385010,21456.0,10417.0,0.4855052199850858,60911,30958.479,20953.384,48.550135501355015,68.76782189076552,New York,246759.75609756095,22.28033977525015,496.413540500594,0.5934242443016018,0.7007065262922729,0.9742640010515649,0.309528716371486,0.0937587402177958,186394.1495297305,0.1669731830124544,40.76581497077318,-73.98518142627411,69.66666666666667,0.4855013550135502,0.4855013550135501,0.1546675731110128,0.0239220581720505,2,Empresas Médias
10020,new_york,676,31965,6827725,3051.0,1995.0,0.6538839724680433,20901,8904.864,7189.944,65.38714218676678,81.50853208095866,New York,278581.6987329892,46.71726903020698,2182.503225640736,0.1706876859640118,0.1785193666396715,0.8867582991617571,0.1588599356638919,0.0937587402177958,213600.0312842171,0.1926456063520858,40.759174468997685,-73.98071492382086,65.31666666666666,0.6538714218676678,0.6538714218676678,0.1450101002445117,0.0210279291729233,3,Periferia Empresarial
10021,new_york,2372,49833,5612272,11421.0,3376.0,0.2955958322388582,14730,10508.085,5067.12,29.558726145325387,49.472456925712144,New York,210865.99241466497,20.886009114378968,436.2253767259213,0.2014191614066795,0.2783155072747075,0.9773876827649272,0.1483010525455622,0.0937587402177958,112621.5961310778,0.0973588165755551,40.7696403431274,-73.95901790236756,60.45,0.2955872614532539,0.2955872614532538,0.1342055712137903,0.0180111353448197,1,Corporate Hub
10022,new_york,5647,129515,28258821,27780.0,14610.0,0.5259179265658748,68114,32948.371,23431.216,52.59159170752422,72.13271992024217,New York,254398.1083272208,20.642868049378464,426.1280013040503,0.6315676550550544,0.7233544639615739,0.9779117224594482,0.3041661075019708,0.0937587402177958,218189.5610547041,0.196976447464352,40.75857029495303,-73.96793010167617,59.35,0.5259159170752423,0.5259159170752422,0.1317634516383532,0.0173616071876526,2,Empresas Médias
10023,new_york,2283,36722,3278163,10952.0,5050.0,0.4611029948867787,16932,8892.058,5824.608,46.10859974946898,66.62619312624372,New York,242145.2535264964,22.46857041147076,504.83665633521935,0.1704422130850271,0.205088106341981,0.9738268530933608,0.1528982859241295,0.0937587402177958,89269.7293175753,0.0753231767820365,40.774645341133926,-73.97837827446206,67.78333333333333,0.4610859974946899,0.4610859974946898,0.1504863683833706,0.0226461470692155,1,Corporate Hub
10027,new_york,1185,45171,3240072,5547.0,1843.0,0.3322516675680548,15008,9838.017,5162.752,33.224856655819,53.72471809557903,New York,217794.97907949792,23.955890714543106,573.8846999271326,0.1885749070668739,0.2522773604401128,0.9702433559805566,0.1484979548029877,0.0937587402177958,71729.02968718868,0.0587711579705035,40.81176105920575,-73.95460574068248,62.98333333333333,0.3322485665581901,0.33224856655819,0.1398298465996453,0.0195523860000803,1,Corporate Hub
10029,new_york,1073,36777,3288604,4966.0,974.0,0.1961337092227144,7213,7063.692,2481.272,19.61280147918536,36.27670045910779,New York,192068.19479566035,2.587952604822929,6.697498684809784,0.1353950269333931,0.2053952916864475,0.999679580272208,0.1095850380277864,0.0937587402177958,89420.1267096283,0.0754650970312239,40.79265684208708,-73.94782938801984,59.71666666666667,0.1961280147918536,0.1961280147918536,0.1325774914968323,0.0175767912515926,1,Corporate Hub
