City,city_key,Top10_Zips,Top10_HH200k,Top10_Population,Top10_HH200k_per_Zip,All_Zips,All_HH200k,All_Population,All_HH200k_per_Zip,Pct_HH200k_in_Top10,Pct_Pop_in_Top10,Pct_Zips_in_Top10,Concentration_Ratio
Los Angeles,los_angeles,43,196272.0,1573237.0,4564.46511627907,449,840820.0,15791145.0,1872.6503340757238,23.34292714255132,9.962779773094352,9.57683741648107,2.4374358806989633
New York,new_york,104,527645.0,3390477.0,5073.509615384615,924,1491245.0,20061247.0,1613.9015151515152,35.382851241747666,16.90062935768649,11.255411255411255,3.1436302449398887
Chicago,chicago,22,130838.0,957353.0,5947.181818181818,339,499378.0,8775140.0,1473.0914454277286,26.20019304014194,10.909831638013753,6.489675516224189,4.037211563912781
Dallas,dallas,10,53558.0,382861.0,5355.8,299,375226.0,7887553.0,1254.9364548494984,14.27353115189246,4.85398957065645,3.3444816053511706,4.267785814415846
Houston,houston,14,90699.0,792694.0,6478.5,261,328457.0,7259236.0,1258.455938697318,27.613660235586394,10.919799273642571,5.363984674329502,5.147975229634321
Miami,miami,11,35188.0,321536.0,3198.909090909091,166,209483.0,5499399.0,1261.94578313253,16.797544430813,5.846747981006652,6.626506024096386,2.534902159559053
San Francisco,san_francisco,68,437263.0,2703058.0,6430.338235294118,278,836298.0,7314003.0,3008.26618705036,52.28554893112264,36.95729957999744,24.46043165467626,2.137556265125308
