airport_code,city_name,city_key,date,hour,day_of_week,month,year,type,airline_normalized,seatguru_aircraft_model,first_class_seats,business_class_seats,premium_total,distance_km,orig_icao,dest_icao
KLAX,Los Angeles,los_angeles,2025-10-10,17.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 737 MAX 9 (7M9),20,0,20,3866.33,KLAX,KBWI
KLAX,Los Angeles,los_angeles,2025-10-10,18.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 737 MAX 9 (7M9),20,0,20,3486.66,KLAX,KCLE
KLAX,Los Angeles,los_angeles,2025-10-10,16.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321neo ACF,20,0,20,4314.42,KLAX,PHLI
KLAX,Los Angeles,los_angeles,2025-10-10,7.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 787-9 (789) Layout 1,0,64,64,12691.9,KLAX,VHHH
KLAX,Los Angeles,los_angeles,2025-10-10,19.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 737 MAX 9 (7M9),20,0,20,2373.4,KLAX,KIAH
KLAX,Los Angeles,los_angeles,2025-10-10,19.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Bombardier CRJ-700 (CR7) Layout 1,9,0,9,1731.63,KLAX,KSEA
KLAX,Los Angeles,los_angeles,2025-10-10,18.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Embraer ERJ-175 (E75) Layout 1,12,0,12,2358.83,KLAX,KIAH
KLAX,Los Angeles,los_angeles,2025-10-10,17.0,Friday,10.0,2025.0,DEPARTURE,Delta,Boeing 737-800 (73H),16,0,16,3591.9,KLAX,MMUN
KLAX,Los Angeles,los_angeles,2025-10-10,17.0,Friday,10.0,2025.0,DEPARTURE,Delta,Boeing 767-300ER (76H/76Z) Layout 3,0,36,36,4194.86,KLAX,KJFK
KLAX,Los Angeles,los_angeles,2025-10-10,16.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321 (321) Layout 1,16,0,16,4364.41,KLAX,KBOS
KLAX,Los Angeles,los_angeles,2025-10-10,17.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Boeing 737-800 (738) Layout 1,16,0,16,3029.41,KLAX,KORD
KLAX,Los Angeles,los_angeles,2025-10-10,17.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Boeing 737 MAX 8 (7M8),16,0,16,3082.02,KLAX,KIND
KLAX,Los Angeles,los_angeles,2025-10-10,16.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321neo ACF,20,0,20,4060.76,KLAX,PHOG
KLAX,Los Angeles,los_angeles,2025-10-10,15.0,Friday,10.0,2025.0,DEPARTURE,Delta,Boeing 767-300ER (76H/76Z) Layout 3,0,36,36,4268.42,KLAX,PHNL
KLAX,Los Angeles,los_angeles,2025-10-10,15.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321neo ACF,20,0,20,4205.67,KLAX,PHNL
KLAX,Los Angeles,los_angeles,2025-10-10,16.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 777-200 (772) Layout 1,0,50,50,4238.7,KLAX,PHNL
