zipcode,city_key,total_establishments,total_employment,total_payroll_K,detailed_establishments,power_establishments,power_estab_pct,power_employment,estimated_revenue_M,power_revenue_M,power_emp_pct,power_rev_pct,city_name,revenue_per_employee,distance_km,distance_squared,Revenue_Norm,Employment_Norm,Distance_Norm,Corporate_Score,threshold_90,payroll_per_employee,PayrollPerEmp_Norm
60606,chicago,3366,179047,22413321,16390.0,11826.0,0.7215375228798048,129189,52169.006,44441.016,72.15368031857558,85.80753147603609,Chicago,291370.4558021078,24.60232849114762,605.2745671863339,1.0,1.0,0.968614265671214,63.97714425527329,14.05427164663838,125181.21498824332,0.1092105130283781
10022,new_york,5647,129515,28258821,27780.0,14610.0,0.5259179265658748,68114,32948.371,23431.216,52.59159170752422,72.13271992024217,New York,254398.1083272208,20.642868049378464,426.1280013040503,0.6315676550550544,0.7233544639615739,0.9779117224594482,56.22175936339111,14.05427164663838,218189.5610547041,0.196976447464352
10017,new_york,4754,138890,23199036,23311.0,12495.0,0.5360130410535798,74446,35598.244,25609.424,53.60069119447044,72.93989536065303,New York,256305.30635754915,20.534457652941565,421.6639511004505,0.682361966647585,0.7757156022229048,0.9781434004358808,55.60675820263145,14.05427164663838,167031.72294621644,0.1487021188131647
10036,new_york,5655,143615,27565509,27802.0,10482.0,0.3770232357384361,54146,32493.919,18626.224,37.70218988267242,58.54263556312739,New York,226257.13887825087,22.24315501248208,494.75794490930673,0.6228564539930229,0.8021056159066157,0.9743499241525352,55.53073882175479,14.05427164663838,191940.31960449813,0.1722067434372896
94105,san_francisco,2295,107979,24347726,10942.0,7870.0,0.7192469384024859,77663,31415.052,26716.072,71.92417044054864,85.6682041447299,San Francisco,290936.6821326369,2.252753721668697,5.0748993304921655,0.6021761019290188,0.6030718534446647,0.9997637909145224,53.79646140370746,14.05427164663838,225485.7518591578,0.2038613887718607
10019,new_york,4377,125460,23385010,21456.0,10417.0,0.4855052199850858,60911,30958.479,20953.384,48.550135501355015,68.76782189076552,New York,246759.7560975609,22.28033977525015,496.413540500594,0.5934242443016018,0.7007065262922729,0.9742640010515649,52.69169120830255,14.05427164663838,186394.14952973055,0.1669731830124544
10001,new_york,6626,141331,16437815,32656.0,14064.0,0.430671239588437,60867,33410.168,20938.248,43.06698459644381,63.83429144174716,New York,236396.6008872788,22.12102500968672,489.3397474791853,0.6404196493621385,0.7893490463291352,0.9746311210386076,50.333679521110994,14.05427164663838,116307.21497760576,0.1008366956662038
92121,los_angeles,3068,119253,17903524,14764.0,6721.0,0.4552289352479003,54287,28744.458,18674.728,45.52254450621787,66.09921256829367,Los Angeles,241037.6091167518,45.64180693174755,2083.174539994919,0.5509845981199146,0.6660392638722109,0.8919133193435612,47.53615331363583,14.05427164663838,150130.5962952714,0.1327536234761872
94025,san_francisco,1684,76577,30263659,7838.0,4236.0,0.5404439908139832,41385,19691.2,14236.44,54.04364234691879,73.29022366933067,San Francisco,257142.4840356765,25.65423937856203,658.1399980925627,0.3774464671304032,0.4276857773185512,0.9658706235755848,46.46922272231485,14.05427164663838,395205.5969808167,0.3640149817492826
10018,new_york,5641,123799,12854197,27743.0,10728.0,0.386692138557474,47872,28236.653,16467.968,38.66913303015372,59.53329720990966,New York,228084.66142699053,22.091826677757822,488.0488059600922,0.5412506956278914,0.6914295288893854,0.9746981191020692,44.722738104886325,14.05427164663838,103831.1860354284,0.0890638775862218
10016,new_york,5097,109431,13746113,24993.0,11653.0,0.4662505501540431,51022,26604.963,17551.568,46.62481380961519,67.08616573469001,New York,243120.89810017272,20.43568188138372,417.6170939571148,0.5099735097844883,0.6111815465385797,0.978353426674637,44.43134719804896,14.05427164663838,125614.43283895787,0.1096193125726162
60601,chicago,2353,87671,12143595,11320.0,7177.0,0.6340106007067138,55584,24094.381,19120.896,63.40066840802546,80.16664297237658,Chicago,274827.26329116814,25.61247930831409,655.9990963188174,0.4618492093419394,0.4896478538914798,0.9659817333902284,41.61470438868369,14.05427164663838,138513.24839456604,0.1217910869158164
77002,houston,2700,85853,13985573,13003.0,7155.0,0.5502576328539568,47241,22235.764,16250.904,55.02545047930766,74.05822320462777,Houston,258998.10140589147,26.15107688820077,683.8788224125884,0.4262221543739563,0.4794939819598425,0.964534814509322,41.524740250820905,14.05427164663838,162901.38958452237,0.144804591522849
95054,san_francisco,1915,77970,17268336,8951.0,4342.0,0.4850854653111384,37822,19233.708,13010.768,48.50840066692317,68.73192488019149,San Francisco,246680.8772604848,11.023740473192731,121.5228540203075,0.3686769935748441,0.4354659443156748,0.9937203045575568,41.24119349727448,14.05427164663838,221474.10542516352,0.2000758586254085
75024,dallas,2551,94378,10883933,12321.0,6570.0,0.533235938641344,50325,24140.015,17311.8,53.32280828159105,72.71888430622127,Dallas,255780.10765220708,39.98659126552111,1598.9274810358495,0.4627239484766879,0.5271077103521461,0.9170450659853576,40.216661161514175,14.05427164663838,115322.77649452204,0.0999077450180454
94103,san_francisco,2998,82240,16199195,14496.0,6092.0,0.4202538631346578,34561,19279.229,11888.984,42.02456225680934,62.844058145696735,San Francisco,234426.42266536964,45.41790186360593,2062.785809692138,0.3695495666596688,0.4593146974224357,0.8929714659958483,39.85450237365657,14.05427164663838,196974.64737354085,0.1769573115270746
94111,san_francisco,2593,68078,12933896,12461.0,8933.0,0.716876655164112,48803,19775.857,16788.232,71.68688856899439,85.52370032495006,San Francisco,290488.2193953994,38.570069879477664,1487.6502905077905,0.3790692218950613,0.380217263816359,0.9228201968976106,38.73294200131298,14.05427164663838,189986.4273333529,0.1703629822242717
