city,city_key,total_zips,top10_zips,top10_pct,avg_score,avg_payroll_emp,total_employment,total_revenue_B,avg_distance_km
Los Angeles,los_angeles,638,92,14.420062695924765,8.226368408344838,58523.826263432,7382959,1615.49879,38.65018857648691
New York,new_york,919,69,7.50816104461371,6.57836878654649,68506.25091614058,7672470,1653.310443,37.6252857146998
Chicago,chicago,392,39,9.948979591836734,6.889968209661565,55613.296981905965,3726889,804.2132120000001,37.066968568374776
Dallas,dallas,561,43,7.66488413547237,5.102610941760533,47414.954830343275,3744154,800.681015,38.54631685713967
Houston,houston,370,28,7.567567567567568,5.844712588551124,52739.25511080377,2858213,598.777915,39.75547073589015
Miami,miami,430,32,7.441860465116279,6.918466804574451,48828.79845484367,3890058,849.300456,41.43587534826828
San Francisco,san_francisco,288,57,19.791666666666664,9.146821734015324,89726.17135817588,3456825,787.5428340000001,37.94922269789553
