zipcode,city_key,power_establishments,power_employment,power_revenue_M,total_establishments,total_employment,power_emp_pct,power_estab_pct
02110,other,6591.0,41158,14405.3,1917,56958,72.26026194739984,343.81846635367765
02111,other,1919.0,14483,5069.05,963,33148,43.69192711475806,199.2731048805815
02113,other,111.0,279,97.65,180,1805,15.457063711911356,61.66666666666667
02114,other,1536.0,19987,6995.45,744,43436,46.014826411271756,206.4516129032258
02115,other,1022.0,19569,6849.15,714,61657,31.73848873607214,143.13725490196077
02116,other,4521.0,31931,11175.85,1979,67148,47.553166140465834,228.4487114704396
02118,other,1247.0,6433,2251.55,894,20560,31.288910505836576,139.48545861297538
02119,other,326.0,1268,443.8,456,7319,17.324771143598852,71.49122807017544
02120,other,139.0,760,266.0,176,3811,19.942272369456834,78.97727272727273
02564,other,3.0,4,1.4,20,56,7.142857142857142,15.0
02568,other,324.0,427,149.45,409,2158,19.78683966635774,79.21760391198043
02571,other,188.0,978,342.3,313,5968,16.38739946380697,60.063897763578275
02575,other,52.0,66,23.1,113,487,13.552361396303903,46.017699115044245
02576,other,29.0,127,44.45,92,1072,11.847014925373134,31.521739130434785
02584,other,3.0,3,1.05,60,218,1.3761467889908259,5.0
02601,other,1142.0,3760,1316.0,1219,18306,20.539713755052986,93.6833470057424
02630,other,119.0,184,64.4,83,411,44.76885644768856,143.3734939759036
02631,other,222.0,342,119.7,310,1817,18.822234452394056,71.61290322580646
02632,other,265.0,381,133.35,280,1553,24.53316162266581,94.64285714285714
02633,other,164.0,251,87.85,240,1336,18.7874251497006,68.33333333333333
02635,other,77.0,98,34.3,93,323,30.340557275541798,82.79569892473118
02637,other,0.0,0,0.0,6,51,0.0,0.0
02638,other,48.0,76,26.6,90,393,19.338422391857506,53.333333333333336
02639,other,72.0,91,31.85,119,526,17.300380228136884,60.50420168067227
02641,other,6.0,18,6.3,39,237,7.59493670886076,15.384615384615385
02642,other,68.0,64,22.4,137,450,14.222222222222221,49.63503649635037
02643,other,0.0,0,0.0,20,72,0.0,0.0
02644,other,42.0,57,19.95,81,366,15.573770491803279,51.85185185185185
02645,other,92.0,187,65.45,265,2024,9.239130434782608,34.71698113207547
02646,other,79.0,130,45.5,117,635,20.47244094488189,67.52136752136752
02647,other,9.0,31,10.85,10,31,100.0,90.0
02648,other,77.0,129,45.15,201,1197,10.776942355889723,38.308457711442784
02649,other,400.0,691,241.85,486,3494,19.776760160274755,82.3045267489712
02650,other,11.0,71,24.85,41,427,16.627634660421545,26.82926829268293
02652,other,14.0,18,6.3,67,269,6.691449814126393,20.8955223880597
02653,other,367.0,663,232.05,385,2657,24.9529544599172,95.32467532467533
02655,other,218.0,454,158.9,209,1523,29.80958634274458,104.30622009569377
02657,other,191.0,181,63.35,348,1347,13.437268002969564,54.88505747126437
02659,other,6.0,12,4.2,47,215,5.5813953488372094,12.76595744680851
02872,other,0.0,0,0.0,8,25,0.0,0.0
02873,other,0.0,0,0.0,6,14,0.0,0.0
02874,other,139.0,170,59.5,101,356,47.752808988764045,137.6237623762376
02875,other,0.0,0,0.0,7,29,0.0,0.0
02876,other,12.0,113,39.55,36,453,24.944812362030905,33.33333333333333
02878,other,269.0,551,192.85,367,2905,18.967297762478484,73.29700272479565
02879,other,685.0,1647,576.45,660,6801,24.217026907807675,103.78787878787878
02881,other,32.0,69,24.15,89,642,10.74766355140187,35.95505617977528
02882,other,319.0,666,233.1,380,3110,21.414790996784568,83.94736842105263
02885,other,226.0,532,186.2,379,3371,15.781667161079799,59.63060686015831
02886,other,2169.0,9341,3269.35,1592,32007,29.18424094729278,136.24371859296483
02888,other,610.0,1579,552.65,672,7261,21.74631593444429,90.77380952380952
02889,other,284.0,528,184.8,408,3178,16.614222781623663,69.6078431372549
02891,other,630.0,1550,542.5,707,7503,20.658403305344528,89.10891089108911
02892,other,33.0,270,94.5,118,2785,9.694793536804308,27.966101694915253
02893,other,392.0,1314,459.9,514,6866,19.137780367025925,76.26459143968872
02894,other,0.0,0,0.0,12,103,0.0,0.0
02895,other,584.0,2729,955.15,727,14210,19.204785362420832,80.33012379642366
